StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,cherry,strawberry,rasberry,cranberry,apple,tomato,ketchup,pomegranate,lemon,banana,corn,pineapple,mustard,butter,avo1,cabbage,zucchini,broccoli,kiwi,asparagus,cucumber,pea,lettuce,celery,kale,spinach,carrot,pumpkin,mango,clementine,cheetos,eggplant,plum,fig,raisin,cauliflower,rice,milk,yogurt,mayo,ranch,marshmallow,salt,cinnamon,coffee,almond,peanut
3/4/23 11:58,3/4/23 12:02,IP Address,128.4.71.171,100,216,TRUE,3/4/23 12:02,R_2TLt0xogwdWJLq7,,,,,39.6934,-75.758,anonymous,EN,7,5,5,7,7,7,7,4,7,7,5,7,4,7,7,7,,7,7,7,7,5,5,6,4,7,6,5,7,6,3,7,6,6,5,6,6,7,7,7,7,7,7,7,7,7,4
3/4/23 12:01,3/4/23 12:03,IP Address,128.4.179.1,100,124,TRUE,3/4/23 12:04,R_3KvV9BgRCf7y1t4,,,,,39.7007,-75.7419,anonymous,EN,7,7,7,7,7,7,7,7,7,6,6,7,6,7,5,6,6,6,7,7,7,7,6,7,6,7,4,5,4,6,7,6,6,3,4,7,7,7,7,7,7,7,7,6,6,7,7
3/5/23 5:36,3/5/23 5:40,IP Address,100.11.174.140,100,276,TRUE,3/5/23 5:40,R_27WEey3318mw7d3,,,,,39.7007,-75.7419,anonymous,EN,5,7,5,,5,7,7,5,7,7,7,6,7,4,7,5,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,6,4,6,6,5,7,7,4,7,7,6,6,7,6,6
3/6/23 10:35,3/6/23 10:36,IP Address,173.75.250.92,100,68,TRUE,3/6/23 10:36,R_1Cq2kvZiDE4iqmf,,,,,39.7007,-75.7419,anonymous,EN,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,5
3/6/23 14:37,3/6/23 14:41,IP Address,68.84.70.25,100,192,TRUE,3/6/23 14:41,R_12QGzN1l1ZE2XfS,,,,,39.6732,-75.7121,anonymous,EN,7,6,3,7,2,7,7,6,7,7,6,4,7,6,7,7,7,7,4,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,6,4,7,4,6,6,7,7,7,7,7,7
3/6/23 14:52,3/6/23 14:54,IP Address,68.82.194.185,100,100,TRUE,3/6/23 14:54,R_1OrekL2OwGzDSx0,,,,,39.7007,-75.7419,anonymous,EN,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7
3/7/23 10:29,3/7/23 10:32,IP Address,128.4.78.88,100,178,TRUE,3/7/23 10:32,R_extJEW6Qm1HlQu5,,,,,39.7007,-75.7419,anonymous,EN,2,7,3,3,4,7,7,1,7,7,7,7,7,4,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,4,7,2,6,7,7,7,7,7,7,4
3/7/23 12:18,3/7/23 12:22,IP Address,128.4.122.243,100,209,TRUE,3/7/23 12:22,R_2X1yhGZ4RXOLZ3C,,,,,39.7007,-75.7419,anonymous,EN,5,6,3,4,4,5,7,2,7,7,5,6,6,3,6,4,5,6,6,4,4,4,6,2,3,4,7,5,3,4,4,7,6,2,2,5,4,6,4,5,3,5,2,5,6,2,3
3/7/23 13:23,3/7/23 13:34,IP Address,73.200.254.100,100,604,TRUE,3/7/23 13:34,R_1gzQP68BvM086aP,,,,,39.6249,-75.8351,anonymous,EN,7,7,6,7,5,7,7,5,7,7,7,5,7,6,7,6,7,7,5,7,7,6,6,7,7,7,7,7,5,7,7,7,6,7,6,7,5,7,3,7,7,7,7,7,5,6,4
3/7/23 13:35,3/7/23 13:37,IP Address,128.4.145.74,100,113,TRUE,3/7/23 13:37,R_12DYgoZ43lU3322,,,,,39.7007,-75.7419,anonymous,EN,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,6,7,5,4,6,7,7,7,7,7,7
3/7/23 14:32,3/7/23 14:34,IP Address,128.4.66.129,100,115,TRUE,3/7/23 14:45,R_2VgOitEfZU8c4dl,,,,,39.6327,-75.6998,anonymous,EN,7,7,7,7,5,6,7,7,7,7,7,6,6,6,5,3,6,7,5,7,7,6,6,6,5,6,7,7,4,7,6,7,7,6,7,7,4,7,6,5,6,6,5,6,7,6,4
